block_id,work_id,block_type,block_text,pdf_page,pdf_bbox,block_seq,parent_title_block_id,title_level
2016412174062326119,W105024233,text,"The second and final term of Lawrence M. Wein as editor in chief of the journal Operations Research expires on December 31, 2005. Based on recommendations from the INFORMS Publications Committee, the president of INFORMS has appointed a committee to conduct a full search for a new editor in chief. The committee intends to propose a candidate for approval by INFORMS no later than June 20, 2005. ",1,"[132, 279, 869, 361]",16,,
2016412174062326120,W105024233,text,"All members of INFORMS are invited to participate in this process. The committee seeks your opinions and comments on (1) the current state of the journal, (2) recommendations for change, if any, and (3) candidates for editor in chief. ",1,"[132, 362, 869, 410]",17,,
2016412174062326121,W105024233,text,Qualifications for the editor in chief of Operations Research will include: ,1,"[145, 410, 673, 426]",18,,
2016412174062326122,W105024233,text,"• a demonstrated interest in a broad range of topics in the field   
• a demonstrated record of research in the field   
• dedication and enthusiasm for Operations Research   
• previous editorial experience   
• vision of the role of scholarly publications in the electronic age   
• commitment to workload involved   
• ability to effectively and efficiently manage the editorial process ",1,"[148, 434, 638, 547]",19,,
2016412174062326123,W105024233,text,Further information about the journal can be obtained at the Operations Research home page: http://or.pubs.informs.org. ,1,"[133, 554, 834, 587]",20,,
2016412174062326124,W105024233,text,"Please submit comments, nominations, and applications to the committee by April 15, 2005. When submitting an application, please include a resume and a brief statement of the candidate’s vision and plans for the journal. The information may be sent (preferably by e-mail) to: ",1,"[130, 588, 869, 636]",21,,
2016412174062326125,W105024233,text,"Hau L. Lee   
Stanford University   
Graduate School of Business   
Littlefield 253   
Stanford, CA 94305   
PHONE: (650) 723-0514   
FAX: (650) 725-0468   
haulee@stanford.edu ",1,"[130, 661, 343, 790]",22,,
2016415859622416497,W109684747,text,Dr. E. Kulhavy ,0,"[363, 192, 646, 243]",0,,
2016415859622416498,W109684747,text,Operations Research ,0,"[162, 351, 823, 428]",1,,
2016415859622416499,W109684747,text,Kulhavy: Operations Research ,1,"[426, 144, 781, 167]",2,,
2016415859622416500,W109684747,text,Dr. Ernest Kulhavy Hochschuldozent ,2,"[380, 202, 611, 241]",3,,
2016415859622416501,W109684747,text,Operations Research ,2,"[207, 311, 787, 357]",4,,
2016415859622416502,W109684747,text,Die Stellung der Operationsforschung in der Betriebswirtschaftslehre ,2,"[276, 392, 719, 442]",5,,
2016415859622416503,W109684747,text,Springer Fachmedien Wiesbaden GmbH ,2,"[191, 850, 804, 881]",6,,
2016415859622416505,W109684747,text,"$\circledcirc$ Springer Fachmedien Wiesbaden 1963 Ursprünglich erschienen bei Betribswirtschaftlicher Verlag Dr. Th. Gabler GmbH, Wiesbaden 1963 Softcover reprint of the hardcover 1st edition 1963 ",3,"[191, 827, 846, 869]",8,,
2016415859622416509,W109684747,title,Vorwort,4,"[446, 188, 548, 208]",12,,1.0
2016415859622416510,W109684747,text,"Auf den ersten Blick präsentiert sich die Operationsforschung (Operations Research) als eine Sammlung wertvoller Verfahrenstechniken, mit deren Hilfe gewisse Führungsprobleme in optimaler Weise gelöst werden können. ",4,"[126, 234, 873, 287]",13,2.0164158596224164e+18,
2016415859622416511,W109684747,text,"Der lediglich an den mathematisch-statistischen Aspekten Interessierte mag sich damit begnügen; der theoretisch interessierte Betriebswirtschafter, aber auch der Unternehmer, der die Absicht hat, eine Operations-Research-Abteilung in seiner Unternehmung zu errichten, werden sich intensiver mit der neuen Disziplin zu beschäftigen haben. Denn beide wollen etwas über die Anwendungsmöglichkeiten und Grenzen der neuen Rechentechniken wissen. ",4,"[126, 299, 873, 406]",14,2.0164158596224164e+18,
2016415859622416512,W109684747,text,"Sie werden bald feststellen, da die Operationsforschung vor allem methodologisch bedeutsam ist. In der Tat hat die Operationsforschung die latente verfahrenstheoretische Auseinandersetzung in der Betriebswirtschaftslehre und darüber hinaus in der gesamten Wirtschaftstheorie neu entflammt. ",4,"[126, 418, 873, 490]",15,2.0164158596224164e+18,
2016415859622416513,W109684747,text,"Ihre unbestreitbaren Erfolge in bestimmten Funktionsbereichen der Wirtschaft haben ihre Befürworter in der Auffassung bestärkt, daB die naturwissenschaftlich-kalkülsprachliche Forschungsmethode die der Betriebswirtschaftslehre adäquate Methode sei. Sie konnten jedoch andererseits das Unbehagen jener Betriebswirtschafter nicht beseitigen, die, obwohl sie bereit sind, den Wert der neuen Verfahren für die Lösung begrenzter Aufgaben anzuerkennen, die These ablehnen, da nur die numerische Methode der Betriebswirtschaftslehre entspreche. Diese Betriebswirtschafter weisen die Auffassung zurück, da der Betrieb ein servomechanistisches System sei, zwischen dessen Organisationselementen (Menschen, Maschinen, Material) kausalmechanische Abläufe bestehen. Sie betrachten die mechanistische Auffassung des Betriebs nicht als eine Höherentwicklung, sondern als eine bedauernswerte, ja nicht selten als eine gefährliche Fehlentwicklung und ereifern sich nur deshalb nicht mehr, weil sie überzeugt davon sind, daB die neuen Verfahren - sofern sie auf höhere Führungsentscheidungen angewendet werden - ohnehin nur in Hörsälen und Studierstuben gedeihen und sich bei der praktischen Bewährung im Leben als unanwendbar erweisen werden. ",4,"[126, 502, 875, 813]",16,2.0164158596224164e+18,
2016415859622416514,W109684747,text,"Der Streit ist an sich nicht neu. Er ist nur die Fortsetzung jener Auseinandersetzung, welche ,mathematische"" und ,,nichtmathematische"" Betriebswirtschafter seit langem führen. Aber dieses Mal ist ein neues Element hinzugekommen. ",4,"[128, 824, 875, 878]",17,2.0164158596224164e+18,
2016415859622416515,W109684747,text,Früher waren nämlich die Betriebswirtschafter gewissermaBen unter sich; mit der Operationsforschung haben sich jedoch die Fachmathematiker und Fachstatistiker selbst zu Wort gemeldet und nehmen aktiven Anteil an der Diskussion. ,5,"[126, 120, 871, 191]",18,2.0164158596224164e+18,
2016415859622416516,W109684747,text,"Die Konfrontierung der Operationsforschung mit der Betriebswirtschaftslehre ist mehr als nur eine Untersuchung, ob neue, bisher unbekannte Rechentechniken für die Lösung bestimmter betrieblicher Aufgaben brauchbar oder unbrauchbar sind. Es geht um Wesentlicheres. Vom Ergebnis dieses Verfahrensstreites wird nämlich sowohl die Gestaltung der Lehre auf den Hochschulen als auch die Gestaltung des Lebens in den Betrieben abhängen. Letzten Endes geht es um das grundsätzliche Problem, ob sich die traditionelle Betriebswirtschaftslehre zu einer informationswissenschaftlich orientierten, logistischen Systemforschung, zu einer katallaktisch-abstrakten Leistungsgröβenlehre entwickelt oder ob sie ihren tragenden Begriff der indeterminierten Leistung beibehält, eine morphologisch-anschauliche Leistungslehre schafft und daher auch nicht in eine Betriebskybernetik, sondern in eine neu zu begründende, die Willensfreiheit der Wirtschaftssubjekte berücksichtigende Betriebswirtschaftspolitik mündet. ",5,"[126, 202, 873, 457]",19,2.0164158596224164e+18,
2016415859622416517,W109684747,text,"Das Wertvolle an der Operationsforschung sind also nicht nur die neuen mathematisch-statistischen Verfahren, sondern auch und insbesondere die Tatsache, da sie den Betriebswirtschafter wieder an die philosophischen Grundlagen seiner Wissenschaft heranbringt. ",5,"[126, 468, 873, 541]",20,2.0164158596224164e+18,
2016415859622416518,W109684747,text,"Genf, im Januar 1963 ",5,"[126, 560, 332, 575]",21,2.0164158596224164e+18,
2016415859622416520,W109684747,title,Inhaltsverzeichnis,6,"[390, 188, 602, 209]",23,,1.0
2016415859622416521,W109684747,text,Seite,6,"[819, 235, 869, 251]",24,2.0164158596224166e+18,
2016415859622416522,W109684747,text,"I. Die Problemstellung . . 11   
II. Die Definition der Operations Research . . 16   
1. Sprachliche Schwierigkeiten bei der Ubersetzung 16   
2. Die Aufgaben der betriebswirtschaftlichen Operationsforschung 20   
3. Die endgültige Definition 21   
III. Die Entstehung der Operations Research . 23   
IV. Der Wissenschaftscharakter der Operations Research . 26   
1. Das Erkenntnisobjekt als Kriterium für den Wissenschaftscharakter 26   
2. Die Methode als Kriterium für den Wissenschaftscharakter . . 28   
3. Die Abgrenzung einer Disziplin als Kriterium für den Wissenschafts  
charakter . . . 30   
V. Abgrenzung der Operations Research gegen verwandte Disziplinen . . . 32   
1. Betriebswirtschaftliche Operationsforschung und Betriebswirtschafts  
politik 33   
2. Betriebswirtschaftliche Operationsforschung und Betriebsökonometrie . 38   
3. Betriebswirtschaftliche Operationsforschung und Betriebswissenschaft . 39   
VI. Konventionelles und strategisches Rechnungswesen 42   
1. Die betriebswirtschaftliche Operationsforschung als Teil des Rechnungs  
wesens 42   
2. Der strategische Charakter der betriebswirtschaftlichen Operations  
forschung 43   
VII. Die bedeutendsten Verfahrenstechniken der Operations Research . . . 49   
1. Das lineare Programmieren (Linearplanung) 54   
2. Das nichtlineare Programmieren 62 ",6,"[118, 248, 879, 907]",25,2.0164158596224166e+18,
2016415859622416523,W109684747,text,Seite,7,"[122, 125, 869, 140]",26,2.0164158596224166e+18,
2016415859622416524,W109684747,text,3. Der Matrizenkalkül. . . 66 ,7,"[120, 146, 871, 164]",27,2.0164158596224166e+18,
2016415859622416525,W109684747,text,4. Die Theorie der Warteschlangen . . . . 70 ,7,"[124, 170, 871, 188]",28,2.0164158596224166e+18,
2016415859622416526,W109684747,text,5. Die Spieltheorie . . 73 ,7,"[126, 193, 873, 211]",29,2.0164158596224166e+18,
2016415859622416527,W109684747,text,6Das Zeit-Verhältnis-Verfahren 78 ,7,"[126, 215, 873, 234]",30,2.0164158596224166e+18,
2016415859622416528,W109684747,text,VIII. Die Rolle der elektronischen Rechenmaschinen . . . . 81 ,7,"[126, 247, 871, 264]",31,2.0164158596224166e+18,
2016415859622416529,W109684747,text,1. Die Rechenautomaten . . . . 81 ,7,"[126, 276, 871, 295]",32,2.0164158596224166e+18,
2016415859622416530,W109684747,text,2. Die mathematische Logik . . . . 85 ,7,"[128, 301, 871, 316]",33,2.0164158596224166e+18,
2016415859622416531,W109684747,text,3. Die Programmierung . . . . 88 ,7,"[124, 322, 873, 341]",34,2.0164158596224166e+18,
2016415859622416532,W109684747,title,IX. Betriebswirtschaftliche Informationen und die Bedeutung der Informationstheorie,7,"[126, 353, 744, 370]",35,,1.0
2016415859622416533,W109684747,text,Informationstheorie . . . 90 ,7,"[126, 371, 866, 389]",36,2.0164158596224166e+18,
2016415859622416534,W109684747,text,X. Das betriebswirtschaftliche Modell . . . 96 ,7,"[124, 402, 873, 421]",37,2.0164158596224166e+18,
2016415859622416535,W109684747,text,1. Die Arten operationsanalytischer Modelle . . . . 98 ,7,"[128, 432, 873, 450]",38,2.0164158596224166e+18,
2016415859622416536,W109684747,text,2. Quantität und Qualität . . . 106 ,7,"[126, 455, 873, 473]",39,2.0164158596224166e+18,
2016415859622416537,W109684747,text,3. Die Beziehungen zwischen den Quantitäten . . . . . 116 ,7,"[128, 479, 875, 496]",40,2.0164158596224166e+18,
2016415859622416538,W109684747,text,4. Die Modellkonstruktion . . . . 124 ,7,"[130, 502, 875, 518]",41,2.0164158596224166e+18,
2016415859622416539,W109684747,text,5. Die Bedeutung der Annahmen bei der Modellkonstruktion . . . . . . . 128 ,7,"[128, 523, 871, 542]",42,2.0164158596224166e+18,
2016415859622416540,W109684747,text,6. Das Experiment am operationsanalytischen Modell . . . . . . 135 ,7,"[128, 548, 871, 564]",43,2.0164158596224166e+18,
2016415859622416541,W109684747,text,XI. Der Betrieb als System und die Betriebskybernetik . . . . . . . 138 ,7,"[130, 575, 873, 594]",44,2.0164158596224166e+18,
2016415859622416542,W109684747,text,XII. Vergleichende Kritik der tragenden Begriffe und Vorstellungen . . . 145 ,7,"[133, 603, 875, 622]",45,2.0164158596224166e+18,
2016415859622416543,W109684747,text,"1. Die Begriffe ,,Leistung"" und ,,Ablauf"". . . 145 ",7,"[128, 632, 875, 651]",46,2.0164158596224166e+18,
2016415859622416544,W109684747,text,2. Der EinfluB der naturwissenschaftlichen Betrachtungsweise in der Betriebswirtschaftslehre ,7,"[124, 655, 848, 691]",47,2.0164158596224166e+18,
2016415859622416545,W109684747,text,3. Die Rolle der Mathematik in der Betriebswirtschaftslehre . . . . . . . 157 ,7,"[126, 697, 873, 714]",48,2.0164158596224166e+18,
2016415859622416546,W109684747,text,XIII. Die Entscheidungsanalyse . . . . 161 ,7,"[126, 726, 875, 745]",49,2.0164158596224166e+18,
2016415859622416547,W109684747,text,1. Die Arten der Entscheidungen . . . 164 ,7,"[128, 758, 875, 775]",50,2.0164158596224166e+18,
2016415859622416548,W109684747,text,2. Die Leitmaximen der Betriebswirtschaftspolitik . . . . . . . . 167 ,7,"[128, 781, 873, 798]",51,2.0164158596224166e+18,
2016415859622416549,W109684747,text,"Die Leitzahlen. . . 167   
Die Leitsätze 168   
Die Leitbilder . . 171 ",7,"[151, 804, 875, 858]",52,2.0164158596224166e+18,
2016415859622416550,W109684747,text,Exkurs über die Planung und die Planungsrechnung . . . . . . . . . 175 ,7,"[139, 862, 873, 881]",53,2.0164158596224166e+18,
2016415859622416551,W109684747,text,3. Die Entscheidungmatrix . . . . 176 ,7,"[126, 885, 875, 903]",54,2.0164158596224166e+18,
2016415859622416554,W109684747,text,Seite ,8,"[819, 125, 871, 141]",57,2.0164158596224166e+18,
2016415859622416555,W109684747,text,XIV. Anwendungsmöglichkeiten und Grenzen der betriebswirtschaftlichen Operations Research . . ] ,8,"[124, 149, 844, 183]",58,2.0164158596224166e+18,
2016415859622416556,W109684747,text,1. Allgemeine Bemerkungen . . . . . 180 ,8,"[124, 199, 873, 217]",59,2.0164158596224166e+18,
2016415859622416557,W109684747,text,2. Kriterien für die Anwendbarkeit der Operations Research . . . . . . . 182 ,8,"[128, 224, 871, 243]",60,2.0164158596224166e+18,
2016415859622416558,W109684747,text,"a) Die unterschiedlichen Funktionsbereiche und ihre Vorrang  
verhältnisse 182   
Die Begriffe ,,Betriebslehre"" und ,,Verkehrslehre"" 193   
Die BetriebsgröBe 195   
) Der Umfang des Problems 196   
e)Das Ausma, in dem sich die Arbeiten wiederholen . 197   
f) Das Wirtschaftssystem und der Mensch 198   
)Die Art der Erzeugnisse und ihre Marktlage . . 202 ",8,"[153, 248, 877, 396]",61,2.0164158596224166e+18,
2016415859622416559,W109684747,title,XV. Gründe für die Entstehung und Ausbreitung der Operations Research,8,"[130, 421, 873, 438]",62,,1.0
2016415859622416560,W109684747,text,"1. Das Fehlen einer geschlossenen betriebswirtschaftlichen Theorie in den angelsächsischen Ländern . . . . . . 206 2. Die naturwissenschaftliche, technische und formalwissenschaftliche Orientierung der Operationsforscher . 207 3. Der Ubergang von der Unternehmer- zur Managerwirtschaft . . . . . . 210 4. Das zunehmende Interesse für betriebswirtschaftspolitische Fragen . . . 211 5. Die Wissenschaftsgläubigkeit unserer Zeit . . . . . . . . . . . . 211 6. Das Nachlassen des wirtschaftlichen Wachstums . . . . . . . . . . . . 212 ",8,"[126, 454, 879, 625]",63,2.0164158596224166e+18,
2016415859622416561,W109684747,title,XVI. Die Ausbildung auf den Hochschulen und der Einsatz im Betrieb,8,"[130, 648, 877, 667]",64,,1.0
2016415859622416562,W109684747,text,"1. Die Ausbildung auf den Hochschulen . . 213   
2. Der Einsatz im Betrieb . . 216 ",8,"[130, 678, 879, 720]",65,2.0164158596224166e+18,
2016415859622416563,W109684747,text,XVII. Nachwort . . 219 ,8,"[130, 743, 881, 762]",66,2.0164158596224166e+18,
2016415859622416564,W109684747,text,Anmerkungen . . 221 ,8,"[130, 784, 881, 803]",67,2.0164158596224166e+18,
2016415859622416565,W109684747,text,Literaturverzeichnis 233 ,8,"[126, 819, 881, 837]",68,2.0164158596224166e+18,
2016415859622416566,W109684747,text,Namensverzeichnis . . 245 ,8,"[126, 852, 883, 872]",69,2.0164158596224166e+18,
2016415859622416567,W109684747,text,Stichwortverzeichnis 249 ,8,"[130, 887, 881, 905]",70,2.0164158596224166e+18,
2016415859622416570,W109684747,title,I. Die Problemstellung,9,"[343, 185, 646, 211]",73,,1.0
2016415859622416571,W109684747,text,"Die Operations Research ist als militärische Operationsforschung während des zweiten Weltkrieges in Europa, und zwar in GroBbritannien, entstanden. Sie wurde von amerikanischen Wissenschaftlern übernommen, in den Vereinigten Staaten weiterentwickelt und kam von dort in modifizierter Form wieder nach Europa zurück. Hier hatte man sie in der Zwischenzeit zwar nicht vergessen, sie war in GroBbritannien sogar sehr bald auf wirtschaftliche Probleme ausgedehnt worden, hatte aber keine weitere geographische Ausbreitung gefunden. ",9,"[124, 231, 871, 360]",74,2.0164158596224166e+18,
2016415859622416572,W109684747,text,"Während die originäre Operations Research einen rein militärischen Charakter hatte, war die in den ersten Nachkriegsjahren gepflegte Operationsforschung längst schon über den militärischen Rahmen hinausgewachsen und zu einem Forschungsgebiet der technischen Wissenschaften und der Wirtschaftswissenschaft geworden. Nicht mehr die wissenschaftliche Behandlung des Kampfeinsatzes von Mensch und Material stand im Vordergrund des Interesses, sondern die wirtschaftliche Aktivität des Menschen. ",9,"[124, 370, 873, 499]",75,2.0164158596224166e+18,
2016415859622416573,W109684747,text,"Die Anwendung der Operationsforschung auf wirtschaftliche Probleme war also das neue Anliegen. Durch diesen Themawechsel machte die Operationsforschung auch im deutschsprachigen Mitteleuropa auf sich aufmerksam. In der Zwischenzeit hatte sie sich als recherche operationelle in Frankreich und als ricerca operativa auch in Italien durchgesetzt und war zu einer anerkannten wissenschaftlichen Disziplin geworden. Im deutschsprachigen Raum ging die Entwicklung langsamer vor sich; wohl - wie man jetzt nach gründlicheren Untersuchungen des Wesens der Operationsforschung sagen kann - deshalb, weil hier eine ausgebildete Betriebswirtschaftslehre bestand, die längst schon zu all den Problemen der Unternehmungsführung, denen sich auch die Operationsforschung zuwendet, Stellung genommen hatte. Es bestand also keine dringende Veranlassung, neue, noch unbewährte Methoden und Ratschläge zu übernehmen. Langsam, dann allmählich auch schneller breitete sich das Gedankengut der Operations Research aus, und schlielich bezeichnete Käfer die Operationsforschung in einem Vortrag auf der Universität Mainz als jüngsten SproB der Betriebswirtschaftslehre, und Frenckner forderte die betriebswirtschaftliche Forschung und Praxis auf, die operationsanalytischen Methoden ,,möglichst unverzüglich"" zu übernehmen, da sich ,eine Kombination dieser Methoden mit den traditionellen Forschungsmethoden der Betriebswirtschaftslehre als sehr vorteilhaft"" erweise (1). Damit war sie in die betriebswirtschaftliche Diskussion eingetreten und forderte zu einer Stellungnahme heraus. ",9,"[126, 510, 875, 900]",76,2.0164158596224166e+18,
2016415859622416574,W109684747,text,"Die Betriebswirtschaftslehre sieht sich also der neuen Operationsforschung gegenüber und mu in irgendeiner Weise zu ihr Stellung nehmen. Sie kann sie ablehnen oder vorbehaltlos akzeptieren; auf jeden Fall mu sie diese neue Form der wissenschaftlichen Forschung auf betrieblicher Ebene zur Kenntnis nehmen. Wird doch behauptet, dab mit Hilfe der neuen Verfahren optimale Lösungen gefunden werden können, die mit den bisherigen betriebswirtschaftlichen Verfahren nicht erreichbar waren (2), ja noch mehr, daB die betriebswirtschaftliche Forschung durch neue, insbesondere von der Statistik her angeregte Erkenntnismethoden und durch die Einsatzmöglichkeit von Datenverarbeitungsmaschinen grundlegend reformiert werde (3). Illetschko fordert, da es alsobald innerhalb der Betriebswirtschaftslehre gelingen müsse, die neuartigen Rechentechniken neben den alten, überkommenen als technische Verfahren ,ebenso lehrbar und auffabar zu gestalten, wie ihr das auf dem konventionellen Gebiet der Bilanzrechnung, der Kostenrechnung, der Preiskalkulation usw. gelungen ist"" (4). Manche Autoren sprechen sogar von einem Wendepunkt in der Betriebsführung und stellen damit Behauptungen auf, die für die Betriebswirtschaftslehre von essentieller Bedeutung sind (5). Einige sind sogar der Meinung, da man überhaupt erst, seitdem die Betriebsführung ,,Operations Research"" als Mittel zur Lösung von Betriebsproblemen anwendet, von einer wissenschaftlichen Betriebsführung sprechen könne (6), und in der Harvard Business Review kann man lesen, daB es sich bei dem linearen Programmieren, der vermutlich bedeutendsten Verfahrenstechnik der Operationsforschung, ,um den markantesten betriebswirtschaftlichen Fortschritt seit der Erfindung der doppelten Buchführung im Mittelalter handele"" (7). ",10,"[124, 123, 871, 567]",77,2.0164158596224166e+18,
2016415859622416575,W109684747,text,"In Amerika heiBt es: ""Operations research brings something vital and new to the American management science"" (8), und im deutschsprachigen Mitteleuropa wird vorausgesagt, dab ,die Lehre von den Operations Research ... - was sie in Amerika bereits ist — wohl auch bei uns zu einer wichtigen neuen Disziplin der Betriebswirtschaftslehre werden"" (9) wird. Böhm behauptet, daB es sich bei den neuen Verfahren um eine der interessantesten Entwicklungen der letzten Jahrzehnte handele; die Neuerungen seien nicht nur für die Unternehmungsplanung, sondern auch für die Entwicklung der Wirtschaftstheorie der kauf.. männischen Unternehmung gleichmäBig bedeutsam, und deren Ausstrahlungen würden uns alle in den nächsten Jahren noch zunehmend beschäftigen (10). ",10,"[128, 578, 875, 761]",78,2.0164158596224166e+18,
2016415859622416576,W109684747,text,"Mit der Formulierung der Operationsforschung als der höchsten Stufe des betrieblichen Rechnungswesens schlieBlich wurde erreicht, daB sich der Kreis der interessierten Betriebswirtschafter erweiterte, denn das Rechnungswesen war die Domäne vieler Betriebswirte und hatte seit Jahrzehnten eine Zentralstellung in der Betriebswirtschaftslehre inne. Die Reaktion war verständlich, denn die Behauptung, daB die Operationsforschung die höchste Stufe des Rechnungswesens sei, schloB ja bis zu einem gewissen Grade ein Werturteil ein. ",10,"[128, 775, 875, 903]",79,2.0164158596224166e+18,
2016415859622416579,W109684747,text,"Mit einem Male waren die Buchhaltung, die Kostenrechnung einschlieBlich der Plankostenrechnung, ja selbst die Kennzahlenrechnung, die bisherige Betriebsstatistik, die Budgetrechnung und wie man die einzelnen Sachgebiete des betrieblichen Rechnungswesens noch einteilen will, degradiert. Sie waren nur noch traditionell, konventionell und muten es sich gefallen lassen, in ihrer dominierenden Bedeutung für die Unternehmungsführung von der strategischen Operationsforschung abgelöst zu werden. ",11,"[126, 123, 873, 251]",82,2.0164158596224166e+18,
2016415859622416580,W109684747,text,"Dieser Situation sehen wir uns heute gegenüber. Und aus dieser Lage heraus entstand das Thema dieser Arbeit: Kritik der betriebswirtschaftlichen Operationsforschung (Operations Research). Die Arbeit will die Operations Research der Betriebswirtschaftslehre gegenüberstellen und untersuchen, was neu ist und was bereits zum Bestand der Betriebswirtschaftslehre gehört. Darüber hinaus will sie aber auch kritisch sein, d. h. prüfen, ob das Neue dazu beiträgt, das betriebswirtschaftliche Wissen zu bereichern. Denn etwas Neues muB nicht notwendigerweise brauchbar sein, und möge es sich in anderen Lebensbereichen des Menschen, wie z. B. in der Technik, den Naturwissenschaften, dem Militär usw., noch so bewährt haben. ",11,"[128, 266, 875, 450]",83,2.0164158596224166e+18,
2016415859622416581,W109684747,text,"Es wird in dieser Arbeit nicht nur die Operations Research schlechthin analysiert, sondern auch und hauptsächlich jene, die sich auf wirtschaftliche Tätigkeiten bezieht, also die betriebswirtschaftliche Operationsforschung. Die Konfrontation der beiden Forschungsgebiete ist gerechtfertigt, weil beide den Betrieb und das Leben in ihm zum Gegenstand haben; ja die Parallelität der Forschungsaufgaben ist manchmal so verblüffend, daB man geneigt ist, die Operationsforschung mit der Betriebswirtschaftslehre gleichzusetzen, um dann allerdings sofort wieder die Unterschiede herauszustellen. ",11,"[126, 464, 873, 610]",84,2.0164158596224166e+18,
2016415859622416582,W109684747,text,"Aus dem in gleicher Weise interessierenden Objekt, nämlich dem Betrieb, leitet der Betriebswirt auch seine Legitimation zur Behandlung der Operationsforschung ab. Diese Feststellung mag etwas überraschend sein; wenn man aber in der Literatur auf die so oft genannte Team-Arbeit in der Operationsforschung stöBt, wird man Mathematiker, Statistiker, Soziologen, Nationalökonomen, Psychologen, Arzte, Physiker, Astronomen usw. finden, meistens aber vergeblich einen Betriebswirt suchen. Das ist befremdend und dürfte wohl auch der Grund dafür sein, daB sich die Arbeit beider Sachgebiete bisher im Grunde genommen nebeneinander und ohne zu groBe Berücksichtigung des anderen bewegt hat. Dieser Zustand ist aber auf die Dauer untragbar. Die Betriebswirtschaftslehre braucht die Operationsforschung, aber ebenso braucht umgekehrt die betriebswirtschaftliche Operationsforschung auch die Betriebswirtschaftslehre, wenn sie nicht eine wirklichkeitsfremde Zahlenspielerei werden will. Bevor dieses Nebeneinander aber beseitigt werden kann, ist es notwendig, zu klären, welche Beziehungen, Gemeinsamkeiten und inakzeptablen Unterschiede zwischen der Betriebswirtschaftslehre und der Operationsforschung bestehen. Dann erst werden die Möglichkeiten und Grenzen der Operationsforschung im Rahmen der Betriebswirtschaftslehre bestimmt werden können, und allmählich wird sich dann durch die Arbeiten vieler der wissenschaftliche Standort der beiden Disziplinen klären. Die Betriebswirtschaftslehre hat die Pficht, gleichgültig, was sie von der Operationsforschung hält, sich mit dieser auseinanderzusetzen. Mag der Anwendungsbereich in der Wirtschaftswissenschaft auch enger sein als in den Naturwissenschaften, so entbindet das die Betriebswirtschaftslehre als Wissenschaft aber nicht von ihrer Verpflichtung, die Anwendungsmöglichkeiten zu erforschen. ",11,"[130, 626, 877, 904]",85,2.0164158596224166e+18,
2016415859622416585,W109684747,text,,12,"[126, 125, 873, 308]",88,2.0164158596224166e+18,
