paper_id,claim,cause,effect,type_of_relationship,sign_of_impact,is_main_contribution,statistical_significance,causal_inference_method,sources_of_exogenous_variation,level_of_tentativeness,evidence_method_other_description,evidence
W111289653,Multifunctional function unit modeling -> Scheduling problem coverage,Multifunctional function unit modeling,Scheduling problem coverage,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"We have extended the 0/1 formulation of Hwang (1991) and Lee (1989) combined with ideas from Gebotys (1991) to enlarge the set of scheduling problems that can be described in our model. [...] For the first time we have extended the model to different execution times and multifunctional function units. [...] They cannot correctly handle multifunctional function units with different operator combinations and they require assigning operation time to operation instances in the behavior description. [...] Instead, we have to construct the powerset Π of the not disjunctive operation types (of course the empty set can be omitted) and to introduce new constraints."
W111289653,Different execution time modeling -> Scheduling problem coverage,Different execution time modeling,Scheduling problem coverage,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"For the first time we have extended the model to different execution times and multifunctional function units. [...] If there are function units with different execution times for one operation type, many problems appear. Most of the scheduling algorithms (even the heuristically ones) have the restriction that every operation type has one unique execution time. Suppose t1, t2, ..., tp are functional units with different execution times for the operation oi. We introduce new 0/1 variables si1j, si2j, ..., sipj instead of xij."
W111289653,Variance weighting factor -> Risk control in emission reduction,Variance weighting factor,Risk control in emission reduction,direct effect,positive,False,NA,Simulation,NA,certain,NA,"To make the model more useful for decision makers we solve the model with different weighting factors for the variance. It enables us to control the value of variance at the solution found; in other words, uncertainty or risk. [...] In such a method we minimize a weighted sum of expected value of total costs and their variance."
W111289653,Primal-dual logarithmic barrier method -> Quadratic programming solution efficiency,Primal-dual logarithmic barrier method,Quadratic programming solution efficiency,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,It is now widely accepted that the primal-dual logarithmic barrier method is the most efficient IPM. [...] The derivation of the higher order primal-dual method for QP is analogous to the derivation for the linear case presented in Mehrotra (1991) and implemented by Altman and Gondzio (1992). [...] In the Mehrotra method a higher order Taylor approximation of the optimal trajectory is computed. Knowing Taylor terms we can compute the search directions in the primal and dual spaces.
W111289653,Diagonal quadratic matrix structure -> Computational simplicity of direction finding,Diagonal quadratic matrix structure,Computational simplicity of direction finding,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,"For a linear case Q = 0 and other matrices in (8) are diagonal, and computing Θ is very simple. In many practical problems the matrix Q is either diagonal or we can reformulate the problem (1) to obtain a diagonal quadratic matrix, cf. Vanderbei and Carpenter (1993). Therefore computing Θ for separable QP is as easy as for a LP."
W105983977,LP-based lower bound generation -> Computation time,LP-based lower bound generation,Computation time,direct effect,negative,True,NA,Simulation,NA,certain,NA,To decrease the computation time we have developed a method for constructing new lower bounds with the help of LP (!). The results show that computation time is superior to comparable approaches though our model is able to describe a larger set of problems. [...] The efficiency of solving the 0/1 LP is extremely dependent on good bounds. In our approach we generate lower bounds via LP. In all applications so far we did not have problems with computing times. [...] The problem is solved as LP (!). Therefore computing times are no problem. [...] So we have generated lower bounds for every FU-type and therefore reduced the solution space drastically.
W105983977,Multifunctional function unit modeling -> Scheduling problem coverage,Multifunctional function unit modeling,Scheduling problem coverage,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"We have extended the 0/1 formulation of Hwang (1991) and Lee (1989) combined with ideas from Gebotys (1991) to enlarge the set of scheduling problems that can be described in our model. [...] For the first time we have extended the model to different execution times and multifunctional function units. [...] However there are at least two drawbacks of these approaches, which are very important for practical applications. They cannot correctly handle multifunctional function units with different operator combinations and they require assigning operation time to operation instances in the behavior description."
W105983977,Different execution time modeling -> Scheduling problem coverage,Different execution time modeling,Scheduling problem coverage,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"For the first time we have extended the model to different execution times and multifunctional function units. [...] In practice operation time is a feature of the function unit (FU) or even better of an operation performed by a module. In the second case, different operations of a module for example 'add' and 'and' may be done in different execution times. [...] If there are function units with different execution times for one operation type, many problems appear. Most of the scheduling algorithms (even the heuristically ones) have the restriction that every operation type has one unique execution time. [...] We introduce new 0/1 variables s_i1j, s_i2j...s_ipj instead of x_ij."
W105983977,Powerset constraint formulation -> Resource constraint accuracy,Powerset constraint formulation,Resource constraint accuracy,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"If there are multifunctional function units with empty intersection of operation types, then the model is also able to describe the problem. These type of function units are only a problem, if the intersection of the sets of executable operations of two function units is not empty and operation sets of the units are not equal. [...] It is easy to see that all the constraints are too strong. Instead, we have to construct the powerset Π of the not disjunctive operation types (of course the empty set can be omitted) and to introduce new constraints. [...] A proof that constraint (2) is necessary and sufficient can be found in Achatz (1993a)."
W105983977,Variance weighting factor -> Risk control in emission reduction,Variance weighting factor,Risk control in emission reduction,direct effect,positive,False,NA,Simulation,NA,certain,NA,"To make the model more useful for decision makers we solve the model with different weighting factors for the variance. It enables us to control the value of variance at the solution found; in other words, uncertainty or risk. [...] In such a method we minimize a weighted sum of expected value of total costs and their variance. [...] Finally we construct the stochastic optimization problem: min E{c(x)} + αV{c(x)} s.t. Tx ≤ b, l ≤ x ≤ u, where c(x) is a random function and costs are values of this function, x denotes emissions to be reduced, b is a vector of maximal grid depositions."
W105983977,Quadratic matrix separability -> Computational efficiency in interior point method,Quadratic matrix separability,Computational efficiency in interior point method,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,"In many practical problems the matrix Q is either diagonal or we can reformulate the problem (1) to obtain a diagonal quadratic matrix, cf. Vanderbei and Carpenter (1993). Therefore computing Θ for separable QP is as easy as for a LP. [...] For a linear case Q = 0 and other matrices in (8) are diagonal, and computing Θ is very simple. [...] The difference between linear case and quadratic one is in the matrix Θ, for the quadratic case Θ = (Q + X^{-1}Z + S^{-1}W)^{-1}."
W116222460,General Managerial Human Capital -> Executive Pay,General Managerial Human Capital,Executive Pay,direct effect,positive,True,p<0.01,Fixed Effects Models,NA,tentative,NA,"A one-standard deviation in the index is associated with an 11% increase in the annual level of pay [...] Using the entire sample, column (1) corroborates that higher levels of general human capital are positively correlated with total pay. The magnitude of the relationship is substantial: a one-standard deviation in the index is associated with an 11% increase in compensation."
W116222460,General Managerial Human Capital -> Managerial Mobility,General Managerial Human Capital,Managerial Mobility,direct effect,positive,True,0.01<=p<0.05,Fixed Effects Models,NA,tentative,NA,A one-standard deviation in the index is associated with [...] a 7% increase in managerial mobility (measured by the number of firms an executive worked for during his career) [...] The baseline specification in column (1) shows that a one-standard deviation increase in the index was associated with an increase of about 6.8% in the number of companies.
W116222460,General Managerial Human Capital -> Within-Firm Pay Inequality,General Managerial Human Capital,Within-Firm Pay Inequality,direct effect,positive,True,0.01<=p<0.05,Fixed Effects Models,NA,tentative,NA,"A one-standard deviation in the index is associated with [...] an 8% increase in income inequality across top executives within the firm relative to the mean. [...] column (1) of Table 10 shows that the ratio of the highest-paid to the second highest-paid executive in a firm increased by 13 percentage points for a one-standard deviation increase in the index for the highest-paid executive, equivalent to an 8% increase relative to the average pay difference within the firm."
W116222460,General Managerial Human Capital -> Probability of Single-Firm Career,General Managerial Human Capital,Probability of Single-Firm Career,direct effect,negative,False,p>0.1,Fixed Effects Models,NA,tentative,NA,"A one-standard deviation increase in the index was associated with about a 3% decline in the probability of working at one firm for the entire career, but the estimated effects are mostly not statistically significant."
W103701988,Hierarchical Maximum Likelihood Estimation -> Out-of-Sample Fit,Hierarchical Maximum Likelihood Estimation,Out-of-Sample Fit,direct effect,positive,True,p<0.01,Simulation,NA,certain,NA,"The hierarchical method outperforms maximum likelihood estimation with regard to out-of-sample fit and parameter reliability and does not resort to arbitrarily chosen parameter bounds or to the elimination of subjects to accomplish this efficiency gain. [...] When comparing HML to MLE, we find that HML's out-of-sample fit is better on average and its deviance is lower for 92 out of 142 participants. Using a paired sign rank test for medians, we find that the fit for HML is significantly lower (better) than for MLE and bounded MLE (p < 0.001). [...] This shows that HML sacrificed only a small part of its (in-sample) fit at time 1, for an improved (out-of-sample) fit at time 2."
W103701988,Hierarchical Maximum Likelihood Estimation -> Parameter Reliability,Hierarchical Maximum Likelihood Estimation,Parameter Reliability,direct effect,positive,True,p<0.01,Simulation,NA,certain,NA,"Of central importance, HML estimation yields parameter estimates with higher reliability than MLE. [...] The highest test-retest correlations are obtained using HML, which yields the most reliable parameter estimates for all parameters. Additionally, bootstrapping on the differences in correlation between HML and the other two methods reveals HML's estimates are statistically more reliable for the α, δ, and γ parameters (with 95% intervals). [...] HML's estimates appear to be fairly robust to this procedure, whereas MLE's estimates are less so. [...] A single different choice can yield large changes in MLE parameter estimates and this contributes to unreliable parameter estimates. [...] The robustness of HML estimates is a general finding among subjects in our sample."
W103701988,Hierarchical Maximum Likelihood Estimation -> In-Sample Fit,Hierarchical Maximum Likelihood Estimation,In-Sample Fit,direct effect,negative,False,NA,Simulation,NA,certain,NA,"As to be expected, the loglikelihood is lowest for MLE because that method attempts to find the set of parameters with the best possible fit in-sample. However, HML is very close behind, and more importantly it has substantial advantages in terms of reliability, which we explore in the next section. [...] The HML method does reduce the in-sample performance, albeit trivially, while at the same time significantly improving the out-of-sample fit compared to MLE."
W103701988,Parameter Bounds -> Maximum Likelihood Estimation Reliability,Parameter Bounds,Maximum Likelihood Estimation Reliability,direct effect,positive,False,NA,Simulation,NA,certain,NA,"The test-retest reliability for MLE can be improved by applying admittedly somewhat arbitrary bounds. [...] The use of parameter bounds 0.2 ≤ α ≤ 2, 0.5 ≤ λ ≤ 5, 0.2 ≤ δ ≤ 3, 0.2 ≤ γ ≤ 3 improves the test-retest correlation for MLE."
W103701988,Hierarchical Maximum Likelihood Estimation -> Overfitting,Hierarchical Maximum Likelihood Estimation,Overfitting,direct effect,negative,True,NA,Simulation,NA,certain,NA,"The simplicity of the hierarchical component of the HML method appears to prevent overfitting in-sample, which can undermine out-of-sample performance. [...] The use of population-level information in establishing individual parameter estimates mitigates the estimation difficulties that ensnare MLE and bounded MLE, and consequently HML yields a better measure of individual differences."
W103701988,Choice Data Quantity -> Hierarchical Estimation Benefits,Choice Data Quantity,Hierarchical Estimation Benefits,direct effect,negative,False,NA,Theoretical/Non-Empirical,NA,tentative,NA,"The benefits of hierarchical modeling may, for example, diminish when more choice data are available. In cases where many choices have been observed, the signal can more easily be teased apart from the noise and hierarchical methods may be less fruitful."
W1040111410,Physical Evaluation -> Attribute Partworth,Physical Evaluation,Attribute Partworth,direct effect,ambiguous,True,NA,Simulation,NA,certain,NA,"We capture this learning by allowing the partworth of an attribute to change upon physical evaluation. Thus, for each attribute, the customer has an online (or preevaluation) and an offline (or postevaluation) partworth, and the difference between them quantifies the information gained from physical examination of that attribute. [...] The data were obtained from a conjoint study and demonstrate that customers' valuations of many attributes change significantly when they evaluate the products in an offline as opposed to an online channel (see Table 3). [...] The key findings are that (a) the differences between online and offline partworths are statistically significant for six of the nine included product attributes, with the magnitude of some of these differences being 'large'"
W1040111410,Offline Assortment Optimization with Channel Interactions -> Expected Revenue,Offline Assortment Optimization with Channel Interactions,Expected Revenue,direct effect,positive,True,NA,Simulation,NA,certain,NA,"We found that significant gains in sales/revenues (up to 40% in our study) were attained. [...] the gain in sales and revenue from accounting for channel interactions can be substantial (up to 40% in our case study) [...] Through this case study, we demonstrated that accounting for channel interactions can result in substantial gains in expected revenue (up to 40% in our case)"
W1040111410,Offering Undervalued Attributes -> Sales (Pure Showcase Setting),Offering Undervalued Attributes,Sales,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"In the pure showcase setting, we show that to maximize sales (Theorem 3.1), the firm must offer the attributes that are undervalued (more attractive after physical evaluation) and hide the attributes that are overvalued (less attractive after physical evaluation) by the customers."
W1040111410,Hiding Overvalued Attributes -> Sales (Pure Showcase Setting),Hiding Overvalued Attributes,Sales,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"In the pure showcase setting, we show that to maximize sales (Theorem 3.1), the firm must offer the attributes that are undervalued (more attractive after physical evaluation) and hide the attributes that are overvalued (less attractive after physical evaluation) by the customers."
W1040111410,Offering Most Profitable Undervalued Attributes -> Profits (Pure Showcase Setting),Offering Most Profitable Undervalued Attributes,Profits,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"On the other hand, to maximize profits (Theorem 3.2), the firm must offer the most profitable undervalued attributes and the least profitable overvalued attributes. In doing this, the firm provides information to its customers, resulting in an increase (decrease) in the attractiveness of the most (least) profitable attributes; this shifts the demand to the most profitable attributes."
W1040111410,Offering All Undervalued Attributes -> Sales (General Showcase Setting),Offering All Undervalued Attributes,Sales,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"In the general showcase setting, we show that to maximize sales (Theorem 3.5), the firm must offer all the undervalued attributes and hide only a subset of the overvalued attributes. Precisely which overvalued attributes are hidden depends on their corresponding magnitudes of attractiveness. Intuitively, the overvalued attributes that drive a large amount of offline sales should be offered but the rest hidden."
W1040111410,IP-based Heuristic -> Profits,IP-based Heuristic,Profits,direct effect,positive,True,NA,Simulation,NA,certain,NA,"Using a simulation study, we show that (a) our IP-based heuristic scales to large, practical-sized problems, and (b) the solutions obtained from the IP-based heuristic provide significantly higher profits and sales when compared to the solutions from the standard revenue-ordered (RO) or greedy heuristics, described in detail in Section 4 (see Tables 1 and 2)."
W1040111410,IP-based Heuristic -> Sales,IP-based Heuristic,Sales,direct effect,positive,True,NA,Simulation,NA,certain,NA,"Using a simulation study, we show that (a) our IP-based heuristic scales to large, practical-sized problems, and (b) the solutions obtained from the IP-based heuristic provide significantly higher profits and sales when compared to the solutions from the standard revenue-ordered (RO) or greedy heuristics, described in detail in Section 4 (see Tables 1 and 2)."
W1040111410,Assortment Size Constraint -> Optimal Assortment Composition,Assortment Size Constraint,Optimal Assortment Composition,direct effect,ambiguous,False,NA,Simulation,NA,certain,NA,"We also gained the following broad insight into the structure of the sales maximizing assortment when there is a constraint on the size of the offered assortment: it is optimal to offer a mix of 'popular' and 'informative' products; the popular products have high utilities and drive sales in the offline channel, whereas the informative products expose customers to undervalued attributes and drive sales in the online channel."
W1006361424,Tax incentive legislation -> Living unrelated kidney donation rates,Tax incentive legislation,Living unrelated kidney donation rates,direct effect,positive,True,0.05<=p<0.1,Synthetic Controls,"Passage of tax incentive legislation in New York in 2006, compared against a synthetic control constructed from a convex combination of states that did not enact such legislation (Alabama, Arizona, Florida, Michigan, Nebraska, New Jersey, Nevada, Tennessee, Vermont)",certain,NA,"Employing a synthetic control method, we find that the passage of tax incentive legislation increased living unrelated kidney donation rates by 52 percent in New York relative to a comparable synthetic New York in the absence of legislation. [...] Our findings suggest that in the post-legislation period, the living unrelated kidney donation rates in New York increased on average by about 52 percent relative to a comparable synthetic New York in the absence of legislation. [...] The estimated living unrelated kidney donation rate gap, by far, fell well outside the distribution of placebo gaps. This means that, if a state would have been randomly selected from the sample, the probability of obtaining a post/pre-legislation RMSPE ratio as high as that of New York would be 1/14 = 0.0714."
W1006361424,Tax incentive legislation -> Living related kidney donation rates,Tax incentive legislation,Living related kidney donation rates,direct effect,null_effect,True,p>0.1,DID,NA,tentative,NA,"We find no statistically significant causal effect of tax incentive policies on related or unrelated kidney donation rates via a DiD estimation or an instrumental variable procedure which accounts for the endogenous nature of the law. If anything, we find some weak evidence that enactment of tax incentives diminishes related donations. [...] the DiD results in Table 2, irrespective of the estimation strategy, show that the tax incentive legislation does not exert a causal effect on living related or unrelated kidney donation rates. Albeit statistically indistinguishable from zero, a crowding-out is evident under related donations."
W1006361424,Paid leave of absence legislation -> Living unrelated kidney donation rates,Paid leave of absence legislation,Living unrelated kidney donation rates,direct effect,null_effect,False,p>0.1,Synthetic Controls,"Passage of paid leave of absence legislation in New York, compared against a synthetic control constructed from states that did not enact such legislation",certain,NA,"In the next five years following the passage of paid leave, the synthetic and the actual unrelated donation rate trajectories do not diverge from one another, indicating a prima facie evidence of zero causal effect of paid leave of absence legislation. [...] The estimated living unrelated kidney donation rate gap fell well inside the distribution of placebo gaps, indicating that the estimated effect is not causal. To be specific, if a state would have been randomly selected from the sample, the probability of obtaining a post/pre-legislation RMSPE ratio as high as that of New York would be 9/14 = 0.6429, meaning that there are eight other control states all of which have higher post/pre-legislation RMSPE. Therefore the paid leave of absence legislation in New York has no causal effect on donation rates"
W1006361424,Cadaveric donation rate -> Living related kidney donation rate,Cadaveric donation rate,Living related kidney donation rate,direct effect,positive,False,0.01<=p<0.05,IV,Cerebrovascular death rates and motor vehicle fatalities used as instruments for cadaveric donation rates,tentative,NA,"Table 2, Column (1) LIML: Cadaveric donation rate, pmap coefficient = 0.290** (0.119). [...] Table 2, Column (3) Residual aggregation: Cadaveric donation rate, pmap coefficient = -0.117**(0.050)."
W1006361424,Kidney waiting list additions -> Living related kidney donation rate,Kidney waiting list additions,Living related kidney donation rate,direct effect,positive,False,0.01<=p<0.05,DID,NA,certain,NA,"Table 2, Column (1) LIML: Kidney waiting list additions, pmp coefficient = 0.183**(0.035). [...] Table 2, Column (3) Residual aggregation: Kidney waiting list additions, pmp coefficient = 0.185**(0.019)."
W1006361424,Kidney waiting list additions -> Living unrelated kidney donation rate,Kidney waiting list additions,Living unrelated kidney donation rate,direct effect,positive,False,p<0.01,DID,NA,certain,NA,"Table 2, Column (4) LIML: Kidney waiting list additions, pmp coefficient = 0.031** (0.004). [...] Table 2, Column (6) Residual aggregation: Kidney waiting list additions, pmp coefficient = 0.034***(0.003)."
W1006361424,Prevalence of ESRD -> Living related kidney donation rate,Prevalence of ESRD,Living related kidney donation rate,direct effect,positive,False,0.01<=p<0.05,DID,NA,certain,NA,"Table 2, Column (1) LIML: Prevalence of ESRD pmp coefficient = 0.035**(0.015). [...] Table 2, Column (3) Residual aggregation: Prevalence of ESRD pmp coefficient = 0.029***(0.007)."
W1006361424,Number of transplant centers -> Living related kidney donation rate,Number of transplant centers,Living related kidney donation rate,direct effect,positive,False,0.01<=p<0.05,DID,NA,certain,NA,"Table 2, Column (1) LIML: Number of transplant centers pmap coefficient = 9.488**(4.473). [...] Table 2, Column (3) Residual aggregation: Number of transplant centers pmap coefficient = 8.494*(3.172)."
W1006361424,Mean dollar value of state tax incentive -> Living related kidney donation rates,Mean dollar value of state tax incentive,Living related kidney donation rates,direct effect,negative,False,0.05<=p<0.1,IV,"ESRD trend interacted with average federal marginal rates facing itemizers in each state; share of state Medicaid expenses paid by the federal government (state FMAP rate), its square, and the product of FMAP and average tax rate",tentative,NA,"On the other hand, taken at face value, we find a marginally statistically significant and negative effect of the enactment of tax laws on related donations in column 4 only. Specifically, we find that enactment reduces related donations by about 4.5 percent, significant only at the 10% level. It is possible this outcome represents a crowding-out of altruistic donations by explicit monetary incentives."
W1006361424,Mean dollar value of state tax incentive -> Living unrelated kidney donation rates,Mean dollar value of state tax incentive,Living unrelated kidney donation rates,direct effect,null_effect,False,p>0.1,IV,"ESRD trend interacted with average federal marginal rates facing itemizers in each state; share of state Medicaid expenses paid by the federal government (state FMAP rate), its square, and the product of FMAP and average tax rate",tentative,NA,"While under unrelated donation rates, the sign of the effect of the mean value of state incentive for donation is conformable to our expectations, the effect is statistically indistinguishable from zero at conventional test levels."
W1176011688,Mandatory Universal Drug Program -> Drug Insurance Coverage,Mandatory Universal Drug Program,Drug Insurance Coverage,direct effect,positive,True,p<0.01,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"The first row shows that the universal drug program has been successful in expanding drug coverage among the general population. The estimated increase in drug insurance coverage of 21 percentage points represents a 33 percent increase relative to the pre-policy coverage in Quebec. [...] Using Canadian National Population Health Survey longitudinal data from 1994 to 2003, we find that the universal drug program increased drug insurance coverage by 33 percent"
W1176011688,Mandatory Universal Drug Program -> Medication Use,Mandatory Universal Drug Program,Medication Use,direct effect,positive,True,p<0.01,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"The first row shows that, after the introduction of the universal drug program, there was a notable increase in medications used in the previous month. The coefficient estimate of 0.12 indicates that the universal drug program led to a 13 percent increase in medication use in the previous month, net of any substitution between prescription and non-prescription medications. [...] The mandatory drug program led to an increase in the probability of any medication use in the previous month by 2.2 to 3.2 percentage points."
W1176011688,Mandatory Universal Drug Program -> General Practitioner Visits,Mandatory Universal Drug Program,General Practitioner Visits,direct effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,The drug program also led to an 10 percent increase in the annual number of GP visits [...] The estimated spillover effect on GP visits is about 10 percent [...] The likelihood of visiting a GP increased by about 2 percentage points although not statistically significant in the fixed effects models.
W1176011688,Mandatory Universal Drug Program -> Specialist Visits,Mandatory Universal Drug Program,Specialist Visits,direct effect,null_effect,True,p>0.1,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,but there was no statistically significant effect on specialist utilization. [...] There was little effect on the likelihood of visiting a specialist. [...] No statistically significant effects were found for specialist visits and hospitalization.
W1176011688,Mandatory Universal Drug Program -> Hospitalization,Mandatory Universal Drug Program,Hospitalization,direct effect,null_effect,True,p>0.1,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,Finally both OLS and fixed effects models failed to reveal any statistically significant effects on the likelihood of having an inpatient admission in the previous year. [...] No statistically significant effects were found for specialist visits and hospitalization.
W1176011688,Mandatory Universal Drug Program -> Health Status,Mandatory Universal Drug Program,Health Status,direct effect,positive,True,0.01<=p<0.05,DID,"Policy change in the province of Quebec, Canada introducing mandatory universal drug program",certain,NA,"The program had a small positive effect on self-assessed health status and HUI. [...] The estimated impact on HUI is around 0.010, representing an important improvement in health status. [...] Previous studies document that an increase of 0.03 or greater in HUI score is considered as clinically important, and an increase of 0.01 is generally important (Horsman et al., 2003; Grootendorst et al., 2000)."
